"","lepto","month","year","E0","E1","E2","E3","E4","E5","E6","E7","E8","E9","E10","E11","E12","E13","E14","E15","N4","N6","N12","shiftyear","smoothed.5","smoothed.25","cummulativemon","pop"
"1",4,1,2011,5,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2011,5,2.5,421,22626
"2",6,2,2011,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2011,7,3.5,422,22626
"3",8,3,2011,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2011,7,3.5,423,22626
"4",6,4,2011,2,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,2011,4.5,2.25,424,22626
"5",3,5,2011,4,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,2011,2,1,425,22626
"6",1,6,2011,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2011,0.5,0.25,426,22626
"7",0,7,2011,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2011,0,0,427,22626
"8",0,8,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,0,0,428,22626
"9",0,9,2012,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,0,0,429,22626
"10",0,10,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,0,0,430,22626
"11",0,11,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,0,0,431,22626
"12",0,12,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,0.5,0.25,432,22626
